year,state,state_code,county,candidate,party,candidate_votes,total_votes
2012,Colorado,CO,Douglas,Barack Obama,democrat,60991.0,167781
2012,Colorado,CO,Douglas,Mitt Romney,republican,104204.0,167781
2012,Colorado,CO,Eagle,Barack Obama,democrat,12792.0,22668
2012,Colorado,CO,Eagle,Mitt Romney,republican,9411.0,22668
2012,Colorado,CO,Elbert,Barack Obama,democrat,3603.0,14178
2012,Colorado,CO,Elbert,Mitt Romney,republican,10266.0,14178
2012,Colorado,CO,El Paso,Barack Obama,democrat,111819.0,290175
2012,Colorado,CO,El Paso,Mitt Romney,republican,170952.0,290175
2012,Colorado,CO,Fremont,Barack Obama,democrat,6704.0,20416
2012,Colorado,CO,Fremont,Mitt Romney,republican,13174.0,20416
2012,Colorado,CO,Garfield,Barack Obama,democrat,11305.0,24408
2012,Colorado,CO,Garfield,Mitt Romney,republican,12535.0,24408
2012,Colorado,CO,Gilpin,Barack Obama,democrat,1892.0,3338
2012,Colorado,CO,Gilpin,Mitt Romney,republican,1346.0,3338
2012,Colorado,CO,Grand,Barack Obama,democrat,3684.0,8187
2012,Colorado,CO,Grand,Mitt Romney,republican,4253.0,8187
2012,Colorado,CO,Gunnison,Barack Obama,democrat,5044.0,8667
2012,Colorado,CO,Gunnison,Mitt Romney,republican,3341.0,8667
2012,Colorado,CO,Hinsdale,Barack Obama,democrat,229.0,600
2012,Colorado,CO,Hinsdale,Mitt Romney,republican,353.0,600
2012,Colorado,CO,Huerfano,Barack Obama,democrat,1953.0,3714
2012,Colorado,CO,Huerfano,Mitt Romney,republican,1646.0,3714
2012,Colorado,CO,Jackson,Barack Obama,democrat,216.0,848
2012,Colorado,CO,Jackson,Mitt Romney,republican,600.0,848
2012,Colorado,CO,Jefferson,Barack Obama,democrat,159296.0,311052
2012,Colorado,CO,Jefferson,Mitt Romney,republican,144197.0,311052
2012,Colorado,CO,Kiowa,Barack Obama,democrat,118.0,821
2012,Colorado,CO,Kiowa,Mitt Romney,republican,677.0,821
2012,Colorado,CO,Kit Carson,Barack Obama,democrat,838.0,3702
2012,Colorado,CO,Kit Carson,Mitt Romney,republican,2785.0,3702
2012,Colorado,CO,Lake,Barack Obama,democrat,1839.0,3040
2012,Colorado,CO,Lake,Mitt Romney,republican,1098.0,3040
2012,Colorado,CO,La Plata,Barack Obama,democrat,15489.0,29184
